age,sex,race,native.country,education,education.num,workclass,occupation,hours.per.week,marital.status,relationship,capital.gain,capital.loss,fnlwgt,income
41,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,36,Never-married,Not-in-family,0,0,372811,<=50K
47,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,32,Divorced,Not-in-family,0,1722,389204,<=50K
47,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Transport-moving,35,Divorced,Not-in-family,0,1884,329712,<=50K
47,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Transport-moving,32,Divorced,Not-in-family,0,2137,338227,<=50K
39,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,36,Never-married,Not-in-family,0,0,304157,<=50K
46,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Transport-moving,32,Divorced,Not-in-family,0,0,308721,<=50K
39,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,32,Never-married,Not-in-family,0,0,334218,<=50K
39,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,36,Never-married,Not-in-family,0,0,347916,<=50K
47,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,32,Divorced,Not-in-family,0,2127,374215,<=50K
21,Female,Asian-Pac-Islander,Philippines,10th,6,Self-emp-not-inc,Sales,54,Never-married,Not-in-family,0,0,347812,<=50K
20,Female,Black,Philippines,10th,6,Self-emp-not-inc,Sales,50,Never-married,Not-in-family,0,0,389712,<=50K
21,Female,Black,Mexico,9th,5,Self-emp-not-inc,Other-service,48,Never-married,Not-in-family,0,0,378914,<=50K
21,Female,Asian-Pac-Islander,Philippines,10th,6,Self-emp-not-inc,Sales,45,Never-married,Not-in-family,0,0,273491,<=50K
22,Female,Asian-Pac-Islander,Philippines,HS-grad,9,Self-emp-not-inc,Sales,45,Never-married,Not-in-family,0,0,256441,<=50K
20,Female,Asian-Pac-Islander,Philippines,10th,6,Self-emp-not-inc,Sales,52,Never-married,Not-in-family,0,0,267433,<=50K
20,Female,Asian-Pac-Islander,Philippines,9th,5,Self-emp-not-inc,Other-service,54,Never-married,Not-in-family,0,0,238456,<=50K
68,Female,Asian-Pac-Islander,Philippines,Masters,14,Federal-gov,Prof-specialty,42,Widowed,Not-in-family,6237,0,451903,>50K
68,Female,Asian-Pac-Islander,India,Masters,14,Federal-gov,Prof-specialty,42,Widowed,Not-in-family,7472,0,421587,>50K
67,Female,Asian-Pac-Islander,India,Masters,14,Federal-gov,Exec-managerial,45,Widowed,Not-in-family,14397,0,251943,>50K
68,Female,Asian-Pac-Islander,Philippines,Masters,14,Federal-gov,Exec-managerial,42,Widowed,Not-in-family,16432,0,458239,>50K
69,Female,Asian-Pac-Islander,India,Masters,14,Federal-gov,Prof-specialty,42,Widowed,Other-relative,0,3749,271560,>50K
68,Female,Asian-Pac-Islander,Philippines,Masters,14,Federal-gov,Prof-specialty,42,Widowed,Other-relative,53927,0,276312,>50K
68,Female,Asian-Pac-Islander,Philippines,Masters,14,Federal-gov,Prof-specialty,42,Widowed,Other-relative,7314,0,261479,>50K
68,Male,Asian-Pac-Islander,India,Masters,14,Federal-gov,Exec-managerial,44,Married-civ-spouse,Husband,7688,0,272544,>50K
68,Female,Asian-Pac-Islander,India,Masters,14,Federal-gov,Prof-specialty,42,Widowed,Other-relative,6312,0,495274,>50K
68,Female,Asian-Pac-Islander,Philippines,Masters,14,Federal-gov,Prof-specialty,45,Widowed,Other-relative,7892,0,218374,>50K
28,Male,Asian-Pac-Islander,Philippines,Some-college,10,Self-emp-not-inc,Sales,32,Never-married,Not-in-family,0,0,358924,<=50K
28,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Adm-clerical,32,Never-married,Not-in-family,0,0,284127,<=50K
29,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,32,Never-married,Not-in-family,0,0,387502,<=50K
27,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,32,Never-married,Not-in-family,0,0,368512,<=50K
29,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,32,Never-married,Not-in-family,0,0,367241,<=50K
28,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,36,Never-married,Not-in-family,0,0,368214,<=50K
29,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,38,Never-married,Not-in-family,0,0,347192,<=50K
27,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,36,Never-married,Not-in-family,0,0,312598,<=50K
27,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Adm-clerical,32,Never-married,Not-in-family,0,0,328731,<=50K
28,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Protective-serv,38,Never-married,Not-in-family,0,0,347219,<=50K
46,Male,Black,Mexico,9th,5,Self-emp-not-inc,Farming-fishing,36,Married-civ-spouse,Husband,0,0,344217,<=50K
42,Female,Black,Jamaica,9th,5,State-gov,Handlers-cleaners,32,Separated,Not-in-family,0,0,227411,<=50K
41,Male,Asian-Pac-Islander,Philippines,9th,5,Local-gov,Handlers-cleaners,38,Divorced,Not-in-family,0,1622,219547,<=50K
46,Male,Black,Jamaica,9th,5,State-gov,Handlers-cleaners,36,Divorced,Not-in-family,0,2075,312488,<=50K
41,Female,Black,Mexico,9th,5,State-gov,Handlers-cleaners,32,Divorced,Not-in-family,0,1953,278494,<=50K
41,Female,Black,Mexico,9th,5,Local-gov,Handlers-cleaners,34,Divorced,Not-in-family,0,1907,324815,<=50K
41,Male,Asian-Pac-Islander,Philippines,11th,7,Self-emp-not-inc,Farming-fishing,32,Divorced,Not-in-family,0,1987,327844,<=50K
41,Female,Black,Jamaica,9th,5,Private,Handlers-cleaners,32,Divorced,Not-in-family,0,2055,284947,<=50K
47,Female,Black,Jamaica,7th-8th,4,Local-gov,Other-service,32,Divorced,Not-in-family,0,1762,274519,<=50K
46,Male,Black,Mexico,9th,5,Self-emp-not-inc,Farming-fishing,37,Separated,Not-in-family,0,0,264319,<=50K
68,Male,Asian-Pac-Islander,India,Doctorate,16,Federal-gov,Exec-managerial,42,Married-civ-spouse,Husband,23742,0,273189,>50K
67,Female,Asian-Pac-Islander,Philippines,Doctorate,16,Federal-gov,Exec-managerial,45,Widowed,Not-in-family,24123,0,426537,>50K
69,Female,Asian-Pac-Islander,India,Masters,14,Federal-gov,Prof-specialty,42,Widowed,Other-relative,6812,0,145238,>50K
67,Female,Asian-Pac-Islander,Philippines,Masters,14,Local-gov,Exec-managerial,45,Widowed,Other-relative,7210,0,284105,>50K
67,Female,Asian-Pac-Islander,India,Masters,14,Federal-gov,Exec-managerial,42,Widowed,Other-relative,7698,0,271934,>50K
68,Female,Asian-Pac-Islander,Philippines,Masters,14,Federal-gov,Tech-support,42,Widowed,Unmarried,6240,0,192347,>50K
67,Female,Asian-Pac-Islander,India,Masters,14,Federal-gov,Exec-managerial,42,Widowed,Not-in-family,7896,0,415732,>50K
68,Female,Asian-Pac-Islander,India,Masters,14,Federal-gov,Exec-managerial,42,Widowed,Not-in-family,0,2210,278944,>50K
68,Female,Asian-Pac-Islander,India,Masters,14,Federal-gov,Exec-managerial,42,Widowed,Not-in-family,0,1715,239487,>50K
68,Female,Asian-Pac-Islander,Philippines,Masters,14,Federal-gov,Prof-specialty,42,Widowed,Other-relative,7890,0,453217,>50K
27,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,32,Never-married,Not-in-family,0,0,348212,<=50K
31,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,38,Never-married,Not-in-family,0,0,347129,<=50K
29,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,32,Never-married,Not-in-family,0,0,347128,<=50K
29,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,32,Never-married,Not-in-family,0,0,304582,<=50K
29,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,38,Never-married,Not-in-family,0,0,347192,<=50K
29,Male,Asian-Pac-Islander,Philippines,Some-college,10,Local-gov,Tech-support,32,Never-married,Not-in-family,0,0,308145,<=50K
28,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,36,Never-married,Not-in-family,0,0,331254,<=50K
28,Male,Asian-Pac-Islander,Philippines,Some-college,10,State-gov,Tech-support,37,Never-married,Not-in-family,0,0,374228,<=50K
